Date,test_year,LONG ONLY,SIGN MOMENTUM,MACD MOMENTUM,DMN-SHARPE,DMN-AVGRET
2017-02-10,2017,0.005801641832369383,0.005801641832369383,0.003196007071556027,0.0034159929743399296,0.0011999795970723895
2017-02-13,2017,0.003570640643628308,0.003570640643628308,0.0016611577438883107,0.0024152457511107776,0.0005901534651439132
2017-02-14,2017,0.005990971566048061,0.005990971566048061,0.00212165493771727,0.0032454398153740367,0.0010374213157771203
2017-02-15,2017,-0.001709459331787849,-0.001709459331787849,-0.0010109321680344251,-0.0010623385232265276,-0.00028672724083364444
2017-02-16,2017,0.003658355987308238,0.003658355987308238,0.0011672776290379636,0.0018035061052458971,0.000611573798884113
2017-02-17,2017,0.008544367017458176,0.008544367017458176,0.0034943509561824217,0.004851294888345639,0.0014348429274944649
2017-02-21,2017,0.0009713393951585943,0.0009713393951585943,0.000805096614174821,0.0007399466425840109,0.00019484790222550682
2017-02-22,2017,-0.0017620889851614442,-0.0017620889851614442,-0.00040015325346057207,-0.0008691956835747267,-0.0002809892662088048
2017-02-23,2017,0.001128870597337414,0.001128870597337414,-9.600725619590323e-05,0.000462650486538376,0.00015366581358951289
2017-02-24,2017,0.004750500503459658,0.004750500503459658,0.0022365540128139985,0.0023813054533713593,0.0009302977643843929
2017-02-27,2017,-0.005271411700441159,-0.005271411700441159,-0.001626164369628906,-0.003067541430936469,-0.0008673392083937727
2017-02-28,2017,0.019260916111156642,0.019260916111156642,0.005036536896861534,0.006840480823332829,0.001208213384959401
2017-03-01,2017,-0.009597648707089432,-0.009597648707089432,-0.003083266933409606,-0.004774486380016011,-0.0006368092095782782
2017-03-02,2017,-0.0015232602778714847,-0.0015232602778714847,-0.0012355423466627528,-5.3311517619863975e-05,-0.0004423625428227202
2017-03-03,2017,-0.0019254674878416444,-0.0019254674878416444,-0.00041419384537753163,-0.0008736355519819764,-9.98741663541493e-05
2017-03-06,2017,-0.001547821797310809,-0.001547821797310809,-0.00019318507115119514,-0.00013233492988452193,-0.0001237764276159606
2017-03-07,2017,-0.0019501369904142123,-0.0019501369904142123,-0.0004390971977751186,-0.00010821501902744506,-9.38996708362386e-05
2017-03-08,2017,0.0012947468890408221,0.0012947468890408221,0.00039916690330024434,0.00010513499713200117,0.00018827254730683816
2017-03-09,2017,0.007882319947159135,0.007882319947159135,0.0032901067031415273,0.0006024721245854924,0.0010207879295525027
2017-03-10,2017,0.003558136239298702,0.003558136239298702,0.0015254584941174019,0.0006011166189516817,0.0004957403013062567
2017-03-13,2017,-0.00399357563805688,-0.00399357563805688,-0.0016015690837260252,-0.00034615327949144917,-0.0005361894928467878
2017-03-14,2017,0.008325308640356653,0.008325308640356653,0.003518427119638094,0.0005135477880197116,0.0010576680706422764
2017-03-15,2017,-0.0014431187645377274,-0.0014431187645377274,-0.0008346586351066738,-0.0001191938282721062,-0.00032985941966087956
2017-03-16,2017,0.008461554317694133,0.008461554317694133,0.0017167785332822948,-0.00039016236728060637,0.0024838259869253638
2017-03-17,2017,0.004953498676051252,0.004953498676051252,0.00336838265839992,-0.0002563879526968472,0.00165998170357414
2017-03-20,2017,-0.014479098255968754,-0.014479098255968754,-0.006761860032933467,-0.00139871819358669,-0.004551652546019725
2017-03-21,2017,0.00726352101311095,0.00726352101311095,0.0036275757299514106,-6.54903173192938e-05,0.002288403675696228
2017-03-22,2017,-0.0014964439067018105,-0.0014964439067018105,-0.0014021486526827535,-0.0005113438825786026,-0.000523466427610065
2017-03-23,2017,0.00030500390171381725,0.00030500390171381725,-0.00045458593435606406,4.6898818657749586e-05,3.857936343982909e-05
2017-03-24,2017,0.0009743273393045805,0.0009743273393045805,0.0002869883106857375,5.815019890285352e-05,0.00025755240986111085
2017-03-27,2017,0.009857965941430784,0.009857965941430784,0.005128232489908297,0.0004088846655362089,0.003092482548958008
2017-03-28,2017,0.0028346682318108854,0.0028346682318108854,0.0008548455263855625,0.0005187370652982896,0.0008137832070506566
2017-03-29,2017,0.0029207462666329303,0.0029207462666329303,0.0012275145919778858,-0.0008468803489694363,0.000982609877893426
2017-03-30,2017,0.0017030434976374946,0.0017030434976374946,0.00039750714395156493,0.00044906095426940204,0.0005180758388717903
2017-03-31,2017,-0.0014931430485796628,-0.0014931430485796628,-0.0002684928520995574,5.1792298014559754e-05,-0.000317586510694242
2017-04-03,2017,0.001016745892200821,0.001016745892200821,0.00041926418621015664,-0.00026889078326829493,0.00011014609845169917
2017-04-04,2017,-0.003207904812330396,-0.003207904812330396,-0.0018478720502799612,-0.0001817572396816839,-0.000810033694544135
2017-04-05,2017,-0.002948074589914358,-0.002948074589914358,-0.002307193681596501,-0.00011025083748612819,-0.0008499365773091919
2017-04-06,2017,0.00022218120824154435,0.00022218120824154435,-8.065678956541237e-05,8.62737263841631e-07,9.697179504724769e-05
2017-04-07,2017,-0.0021762331766151284,-0.0021762331766151284,-0.0010725558247903727,-0.00010094467216671953,-0.0006095629689356206
2017-04-10,2017,-0.004110462569671504,-0.004110462569671504,-0.0027397886667984935,-0.00022486784780266413,-0.0010328980458732366
2017-04-11,2017,-0.005128539810670024,-0.005128539810670024,-0.001778645364870814,-0.0002582035583156388,-0.0014251537273002775
2017-04-12,2017,-0.008209799863554839,-0.008209799863554839,-0.0033563318455703405,-0.00041829913590186324,-0.002350559207415206
2017-04-13,2017,0.011128911704137177,0.011128911704137177,0.003605266861615593,0.0005794374420787892,0.0031759879357122433
2017-04-17,2017,-0.0023722138207398105,-0.0023722138207398105,-0.0014277852552940476,-0.0013741572213880132,-0.0006058621231481238
2017-04-18,2017,-0.0016477084092500118,-0.0016477084092500118,-0.0006251295834667733,-0.0008971330216698892,-0.0005229107472019581
2017-04-19,2017,0.012175187048619038,0.012175187048619038,0.00470841138254606,0.005495047614392708,0.003351456746828567
2017-04-20,2017,-0.0023274299671112515,-0.0023274299671112515,-0.0007248862745707204,-0.0015984832039294104,-0.0006790917954577046
2017-04-21,2017,0.01238339812496546,0.01238339812496546,0.005323962308759144,0.005404891309674043,0.003375733806712161
2017-04-24,2017,0.007967972738790238,0.007967972738790238,0.0035541888298707895,0.005004058066969087,0.002131198612606063
2017-04-25,2017,-0.004095604425239588,-0.004095604425239588,-0.0021548122769090815,-0.0021399094025254667,-0.0010147694269160416
2017-04-26,2017,0.003182283813240359,0.003182283813240359,0.0012926227814163797,0.001368521644966381,0.0008598553274739937
2017-04-27,2017,-0.0022711052167071755,-0.0022711052167071755,-0.0013118442004229974,-0.0015668970485312901,-0.000710162704666527
2017-04-28,2017,0.012542482581840705,0.012542482581840705,0.007341967563349951,0.0044524713484522934,0.0026375299147506828
2017-05-01,2017,-0.016669706686428313,-0.016669706686428313,-0.0049809022447527196,-0.011072078914131324,-0.0049254025534644875
2017-05-02,2017,-0.0015601054876267393,-0.0015601054876267393,-0.0013658717022978057,-0.0005458747506290575,-0.00036086273556396357
2017-05-03,2017,-0.0022584968418507684,-0.0022584968418507684,-0.00038179396745996984,-0.0011812227669525264,-0.0006323847780361426
2017-05-04,2017,0.007879236447968993,0.007879236447968993,0.00575527743476551,0.0031807613101093885,0.002099064801143281
2017-05-05,2017,0.007542077395146633,0.007542077395146633,0.006712368884559827,0.0046874644624508854,0.0018195944879004487
2017-05-08,2017,0.002986902593481693,0.002986902593481693,0.0011340278423006562,0.001728503472372313,0.0007404563387070296
2017-05-09,2017,0.004065547744177127,0.004065547744177127,-0.0008524597388199053,0.002188114289524217,0.0012315612981424562
2017-05-10,2017,0.0015878309716012256,0.0015878309716012256,-0.0005687122428754073,0.000809329198723933,0.00045858703713731443
2017-05-11,2017,0.004957288024124196,0.004957288024124196,0.0018041776110898095,0.0024862095515476423,0.0012114510615070617
2017-05-12,2017,0.0052475036494012165,0.0052475036494012165,0.0025752776713061486,0.0021207531697396906,0.0014098087782344853
2017-05-15,2017,0.0059606626908781275,0.0059606626908781275,-0.003116240805132401,0.0037735968103329593,0.0018676009487631601
2017-05-16,2017,-0.03482817973338875,-0.03482817973338875,-0.014620010146621638,-0.015361598887923456,-0.009032683807278806
2017-05-17,2017,0.0058435930354189015,0.0058435930354189015,0.004207521522310037,0.000723010156222238,0.0017167902615703957
2017-05-18,2017,0.00839536467655518,0.00839536467655518,0.005101710603543007,0.004388163395133724,0.002326751218200967
2017-05-19,2017,0.007380657224220389,0.007380657224220389,0.006646283232192789,0.004520599405604242,0.0018901739438674737
2017-05-22,2017,0.0014595786386902392,0.0014595786386902392,0.0016349094160563345,0.0009680863416782965,0.00035403104203064604
2017-05-23,2017,0.003655286665137485,0.003655286665137485,0.0024049236707985294,0.0017453741381915993,0.0009303818803250029
2017-05-24,2017,0.006863134091756087,0.006863134091756087,0.004459421713004507,0.0038293090493614033,0.0017977157632680797
2017-05-25,2017,-0.0022914140570967825,-0.0022914140570967825,-0.0015232933714934358,-0.001231760596333997,-0.0005330971287700118
2017-05-26,2017,0.0012139513004120136,0.0012139513004120136,3.0338901464662987e-05,0.00048502826149998885,0.0003090740219860855
2017-05-30,2017,-0.002319102979634865,-0.002319102979634865,-0.0020257113468304137,-0.0006875057779277165,-0.0005642646712428883
